CSpd RSpd
12.2 10.2079
6.8 8.6812
11 11.1349
10.7 12.5574
8.9 6.8682
6.4 3.7324
6.7 2.235
17.2 8.0831
15.1 11.1398
14.5 10.1403
21.2 17.7109
22.4 21.6015
19.4 16.5527
12.6 9.2818
8.6 9.0641
5.4 4.3804
9.3 8.7842
13.2 13.4403
20.1 18.1817
22.3 15.5315
20 16.1955
18.1 17.5315
7.8 10.0389
3.9 8.5596
9.8 10.649
12.6 9.8498
11.8 10.1047
11.2 9.9602
11.8 12.144
10 11.3239
14.7 16.6676
15 13.4807
9.8 10.6674
12 10.5015
13.5 11.6881
14.6 13.7721
12.4 12.5701
9.4 7.8288
7.2 3.0985
3.4 3.2293
5.9 8.1001
11.3 12.7218
13.8 11.0868
11 11.6472
6.5 6.0283
6.2 3.2037
8.6 6.3188
8.3 11.5869
7.8 7.6046
6.8 7.417
7.5 3.9026
7.1 7.0414
5 4.4027
6.3 5.2369
6.4 4.1456
6.3 6.9726
4.3 5.0447
4.9 7.3415
9.3 8.272
4.1 3.3045
6.5 10.0036
11.3 12.9446
12.8 9.0404
9.7 7.3958
7.8 9.9016
10.3 11.7899
7.9 5.8707
8.8 10.5731
10.6 12.2139
10.6 15.9011
10.2 11.8645
11.4 9.8086
11.4 10.2214
12 12.8606
15.6 12.4201
15.1 14.6431
12.5 13.8605
15 15.1161
14.8 7.9261
9.8 7.2136
5.1 4.3071
4.3 4.5504
9.3 9.1562
11.9 11.6047
7.5 7.7184
4.7 3.4469
6.7 6.1572
9.7 8.9751
4.3 6.7308
3.4 5.8159
4.2 2.7227
6.9 4.1375
6 5.0614
7.9 8.2742
10.3 5.8153
11.4 7.5451
6.4 9.027
8.2 10.5367
8.5 4.2014
9.1 3.5762
12.9 10.3914
14.7 17.9625
9.9 10.6834
5 2.6658
6.1 3.8295
4.1 1.5343
9 4.5372
10.6 8.6619
11.7 8.4553
8.7 12.6123
4.8 3.3165
4 4.2586
6.7 7.8101
11.2 8.9041
12.5 10.2809
10.5 7.1862
7.2 6.5793
6.1 6.623
11.3 13.4041
14.9 14.6875
20.6 14.9572
17.1 6.3315
15.4 7.7077
10.4 3.513
5.3 3.8932
8.9 11.9407
11.4 8.7215
4.5 2.4145
5.8 8.4378
7.9 3.1755
7.9 6.7378
13.5 11.9731
12.6 8.9035
10 10.9838
10.5 11.4011
11.1 9.9364
8 7.2552
3.8 2.1235
2.6 2.9782
6 6.3355
9 5.7332
13.1 12.0554
13 13.0038
7.9 8.6411
5.5 4.603
6.3 5.3369
6.6 4.4758
7.9 7.3495
8.6 7.6643
9.4 10.8229
12.3 10.338
12.3 10.4392
7.9 6.2593
6.2 2.554
2.8 4.4399
2.4 1.9626
5.1 4.0699
3.1 2.1088
3.1 4.3395
3.3 3.7012
2.7 2.3636
4.2 2.7223
4.6 5.4434
6 7.1442
7.9 3.8915
12 6.108
12.5 13.3852
12.3 6.6049
13.9 14.3606
15.8 11.1367
13.7 8.6945
10.4 9.3261
10 8.4906
9.6 5.2999
7.7 4.2186
6.2 6.7965
7.2 6.4285
4.8 4.1163
8.3 5.6095
7.9 7.318
11.3 10.687
11.1 7.4856
10.2 6.9668
8.2 6.4012
4.8 4.2586
5.7 3.1327
9.2 5.5442
6.1 7.8072
6.5 8.924
9.9 3.7067
7.7 5.8195
8.8 8.5569
11.7 9.5321
13.5 7.9748
10.7 5.6026
16.5 17.0495
15 9.3739
15.8 11.479
11.6 10.8013
10.7 11.9966
11.4 13.5216
12.7 10.0221
15.6 14.8502
11.9 10.6045
14.1 9.6151
14.9 8.7926
12.1 11.3635
13 12.3052
12.6 11.98
9.8 3.8179
5.8 1.1673
9.1 11.2501
13.8 10.3389
5.8 1.1423
8.2 7.9334
11.7 14.5835
12.9 15.3403
11.4 13.0218
14.8 13.813
10 8.489
8.7 6.72
4.8 2.4674
2.8 1.5855
4.4 6.4527
6.4 6.1961
3.9 5.8672
2.2 2.5037
2.7 5.8535
5.3 4.0872
3.8 6.1646
7.3 4.5561
12.5 13.3132
21.1 18.9234
19.4 16.3987
14 7.1154
6 7.1413
8.1 8.9113
3.9 5.1124
5.8 1.6168
3.8 7.0765
5.6 6.3796
7.7 7.2203
3.2 4.3176
3.9 3.2283
6.4 7.6983
13.8 8.3522
8.2 6.1527
11.1 4.5888
16.6 8.989
13.4 5.8757
8.3 4.7187
4.3 4.2763
4 8.8396
5.6 5.2417
1.3 2.6395
6 5.7585
6.3 7.5666
10.7 3.8191
8.9 4.8763
12.1 7.5173
7.2 6.107
6.5 5.0905
11.2 5.4341
12.3 10.0738
12.3 13.3126
9.6 4.2005
11 8.4569
13.9 5.9403
12.7 13.0083
10.3 8.7696
8.3 8.7245
9.2 9.8408
17.7 15.4034
13.8 12.7109
10.5 7.7081
9 6.1977
12.7 9.7014
18.8 14.3962
12.8 7.8501
14 9.2721
12.9 12.7943
10.2 8.9648
6.3 7.5805
5.8 2.984
8.2 6.218
1.8 3.9079
1 4.3195
8.6 5.9164
10.4 6.5306
6.1 6.6035
3.8 5.5578
6.2 2.3025
4 1.7547
4.3 4.5995
8.3 4.3068
10.7 6.9602
9 8.0001
11.2 9.1389
8.2 5.8994
9.1 3.0466
10.9 2.9378
17.4 16.3342
17.1 15.9138
18.3 10.659
20.8 17.9742
15.6 10.5689
14.2 14.8919
13.3 8.6547
7 5.4794
2.5 6.3575
4.8 3.5171
11.9 8.1627
13.6 11.3387
14.8 9.9327
13.4 7.6059
13.7 12.5783
13.5 10.9261
6.2 6.4961
2.5 1.3375
8 5.6989
9.9 7.5653
13.1 10.3226
12.9 11.0145
10.7 8.4445
8.1 7.7634
3.9 3.3639
7.5 9.3982
8.3 8.3371
8.2 4.5094
6.7 4.6036
7.9 7.8609
5.4 5.5694
5.4 5.2914
11.3 10.6653
14.5 14.0477
13 10.6827
14.9 13.4506
11.4 9.6887
5.7 6.2816
4.9 3.5844
3.6 5.4635
3.6 1.7269
4.5 4.6207
12.3 3.3819
8.2 8.0824
5.3 3.9568
1.4 2.3437
7.1 2.7004
7.4 2.3231
12.7 9.1423
10.1 11.5115
5.3 3.5445
3 4.7396
6 4.4118
8.5 10.5161
8.8 7.636
8.4 10.758
9.5 6.9094
9.5 8.864
15.6 10.8835
19.4 15.5624
17.6 12.4212
12.1 12.2781
14 7.8314
13.6 5.5286
12 8.2206
9.1 6.3749
12.6 12.33
11 13.1161
6.2 6.4356
4.9 5.2037
7.7 3.5419
12 6.6837
3.7 4.0821
7.6 4.5378
17 6.2594
10.7 6.5106
11.3 11.0695
10.9 11.142
11.6 11.8333
13.1 16.3386
11 10.3592
8.2 9.0373
10.5 4.1608
6.1 5.8515
5.9 4.0024
5.4 3.8991
3.9 4.3899
6.9 3.6646
5 3.267
7.2 6.5898
6.7 3.1588
4 1.4974
8.7 7.5661
7.8 2.0856
6.9 4.0834
7.7 3.3953
9.6 9.22
4.1 5.6227
5.3 6.2246
2.7 4.5308
5.2 5.9602
7.9 0.7205
5.7 8.956
14 12.3111
13.8 10.2652
8.3 4.1676
1.1 2.0869
8.3 7.0468
10.6 8.6837
11 8.736
9.6 7.2429
10.2 6.7952
12.5 9.0616
13.8 13.3415
6.4 6.1292
7.6 5.1456
10.7 2.759
9.9 6.4141
9.3 2.8307
11 3.9301
8.3 5.2799
2.8 2.0081
3.5 2.7983
4.1 2.3636
3.3 3.3714
4.4 3.5826
0.4 4.457
10.1 11.2218
7.8 8.441
4.5 3.689
4.7 1.8014
5.5 3.5817
4.6 6.2134
2.5 5.0994
8.9 6.683
9.1 6.8769
10.5 10.2044
13.6 12.5943
15 9.2404
18.8 12.6972
15.4 12.4668
13.3 14.9179
15.6 11.432
17.2 15.2515
18.1 10.0666
12.9 8.2267
6.8 6.0887
2.1 1.7231
8.8 9.0261
12.7 12.7888
10.4 7.1045
8.3 8.4028
6.4 2.3778
6.2 9.7032
6.3 2.4366
5.1 3.2583
5.7 7.1076
3.8 6.5478
8.8 4.8112
9.1 9.5441
10.7 10.3082
13.6 11.9838
17.3 12.1028
14 13.8088
15.9 12.9217
13.2 15.6911
18.4 12.1236
17.5 7.4358
9.2 3.8804
4.2 1.6106
4.2 4.1143
7.7 5.4619
7.1 8.5441
9.6 6.0084
8.7 6.1849
5.2 3.9096
6.9 6.6045
7.7 7.2095
4.7 2.3135
5.9 2.977
8.4 7.4062
12.1 5.5351
5.1 0.8481
5.2 5.601
9.4 7.6602
9.8 13.8562
15.8 9.2102
11.1 12.2039
12.4 7.8586
8.7 8.0419
6.3 4.8876
5.1 4.2014
5.5 6.1774
5.4 5.7288
8.6 5.6921
5.8 4.4222
6.7 7.9049
9.6 10.6712
7.8 5.0459
7.1 4.5208
7.6 8.6945
9.1 8.2062
9.9 6.5217
10.6 8.1841
13.2 10.6015
11.4 12.4963
11.5 10.2147
12.7 11.2361
13.7 10.6966
9.8 14.0596
7.2 4.3643
8.8 5.8322
7.4 5.0977
10.8 4.7559
14.3 5.7494
8.9 6.371
11.5 3.6268
9.3 0.8632
5 3.0017
6.2 6.1177
4.1 4.9949
7.4 6.34
8.2 5.6438
10.4 8.2332
6.1 5.5127
4.3 2.6233
2.8 5.8664
5 5.615
8.9 9.7049
7 8.4154
3 6.8882
10.2 6.5001
10.8 8.1836
7.1 4.6149
5.4 5.8686
5.2 7.5504
4.2 6.2151
9.8 9.2966
10.9 9.1943
13.9 6.7938
9.4 8.8169
5.1 4.4977
4.2 0.4967
9.6 3.3219
6.2 3.9671
5.2 3.8558
4.8 5.6184
4.4 5.31
7.8 9.372
9 9.2636
8.1 6.6463
10.2 6.1807
5.6 9.2079
5.4 4.8375
5.3 5.8893
7.9 4.7797
7 8.6805
5 2.2834
4.4 2.1955
2.7 0.705
6.1 5.1815
5.8 6.417
7.9 8.2344
5.8 2.0797
5.5 1.769
8.2 7.4445
7.6 6.1566
10.6 8.822
7.2 3.9621
8.9 1.8845
6.6 3.721
13.1 10.3606
15.2 21.5272
12.8 7.8881
8.5 7.6693
4.7 2.0262
2.4 0.2221
8.1 11.5424
11.9 9.6881
13.8 13.2352
14.1 10.0731
4.4 4.2373
8.7 8.064
11.7 8.6384
9.1 11.4211
11.6 6.1669
9.7 6.8454
8.9 6.2809
9.9 7.6808
11.9 7.206
11.2 9.8646
11.4 10.3187
14.2 7.8105
9.2 9.9549
11.6 8.3251
14.6 11.5048
14.3 14.46
12.2 12.8858
8.3 6.2357
12 6.8073
12.1 3.1874
8.7 8.34
6.6 5.739
6.6 7.922
12 9.7398
12.3 13.6352
11.6 9.2942
5.3 4.392
6.9 4.119
10.5 9.9016
8.5 7.3055
5.6 3.2652
11.3 10.7823
11.3 14.9196
11.9 9.3617
6.7 8.2217
6.6 4.6036
5.4 5.0589
6.7 3.4998
8.7 3.715
10.1 8.4961
9 9.6626
4.7 4.2435
4 4.5971
8 4.6564
12 13.9688
12.6 7.2988
12.8 9.7852
12.1 8.0923
5.1 3.3266
6.1 3.1373
8 0.61
11 6.6995
14.6 16.9677
14.8 10.0819
10.6 9.5594
6.7 6.1269
6.3 10.0151
8.3 8.7322
10.8 10.0037
12.8 12.3131
14.4 13.9138
15.2 11.6049
13.8 10.5013
11.7 10.0145
9.2 7.7741
7 6.6374
5.9 6.2508
6 10.3041
10.4 7.4939
6.2 7.1156
3.9 5.6198
11.4 9.6604
12.7 12.6596
16.4 10.5959
16.3 8.1698
12.9 10.1649
12.9 12.7383
6.4 4.601
7.1 4.2136
9.8 6.8263
7.5 8.0815
11.1 5.4041
8.1 10.1254
10.6 5.9367
6.8 5.6583
3.8 3.3528
5.4 0.6725
4.2 7.6519
5.7 4.8751
4.3 4.6791
6.8 7.3739
6.1 7.8023
4.8 1.6493
6 3.7206
5.2 5.5911
6 4.8085
8 4.0699
6 3.2544
6.6 5.0463
11.6 13.4031
8.9 6.8452
5.5 3.8229
3.2 4.06
8.2 11.2976
12.4 6.8994
8.9 8.2
9.1 11.4221
6.6 10.4966
9.4 7.1174
14.3 12.7285
13.3 14.1575
16.4 15.2171
15.6 10.2147
13.6 10.2674
13.3 8.8296
12.7 4.3365
13.9 9.5479
4.3 8.3925
16.6 14.7854
11 12.6493
11.2 7.6701
4 4.3251
9 5.4751
8.9 10.4104
14 7.2794
13.9 14.6043
9.9 7.5298
10.7 10.8146
15.8 8.2117
12.3 13.1937
12.5 11.0995
9.9 10.1515
8.8 3.2243
1.9 3.1746
10.6 8.2344
14.7 17.0896
12 4.3168
4.7 0.9957
12 11.6825
12.5 8.2355
2.8 2.3782
8.2 7.907
8.6 16.8279
4.6 8.9022
2 2.8057
8.2 6.0398
5.2 4.4374
6 4.7396
6.2 7.6008
8.3 8.2973
10.3 4.3055
8 3.5218
9.3 5.7158
10.7 5.6634
9.2 3.3343
3.9 2.9188
5.3 5.1268
9.6 6.8024
11.3 7.8506
10.6 8.6464
10.9 6.8462
8.6 9.8196
3.6 7.4323
7.1 8.4891
9.2 8.651
4.8 8.0964
12.5 9.2214
10 10.2596
7.4 4.5627
7.1 7.311
3.6 0.9889
3.5 1.1058
2.8 4.0431
7.9 6.9432
8.7 7.5093
5.1 3.352
8.3 10.1256
14.1 14.3398
13.2 8.3519
7 3.535
6.7 1.6599
5.1 2.8295
4.2 1.1415
7.4 4.5971
3.5 6.2754
13.9 14.6698
9.6 12.1006
6.3 2.624
9 9.0909
12.2 11.1971
8.3 6.9227
6.1 7.8468
5.6 4.3358
10.3 8.4518
9.6 6.6517
5.3 4.17
2 3.322
4.8 11.0008
10.4 9.4973
8.4 7.5392
8.1 7.7157
9.5 7.0989
11.5 8.2995
14.4 11.4231
13.5 12.8858
11.1 8.6525
11.4 8.4722
13.4 17.7538
12.6 8.9293
12.5 10.1986
12.2 7.2189
10.3 9.5587
12 8.346
10.5 8.3267
7.8 3.8583
10.8 7.0148
15 12.2895
6.3 11.4076
20.7 17.3427
11.5 14.0182
9.5 9.7006
8 6.855
2.2 0.5368
2.4 0.987
3.4 3.5466
3.1 0.9218
3.3 2.8669
4.7 5.8691
6.5 6.9839
8.3 10.2865
6.3 3.0436
10.7 4.2447
9.4 9.7233
15 14.8181
14.2 7.2469
10.4 10.2922
11.8 6.341
5.4 3.4469
7.6 2.9504
5 5.0548
7.5 4.4698
8.7 5.1642
10.3 6.6448
9.6 8.573
9.4 7.2123
8.2 6.5161
5.1 2.4226
6.4 4.7898
8.4 7.3278
8.3 9.0153
7.1 7.0007
4.8 6.872
6.3 4.4625
4.1 3.6191
3.2 2.3544
10.7 7.5149
10.3 4.7437
8.6 2.3153
4.3 2.4164
2.4 3.0018
3.9 4.03
8.4 7.4256
11.1 9.2219
10.7 9.2338
8.3 7.199
7.4 5.4914
5.1 3.2162
4 5.2546
8.9 8.5177
11.8 12.9027
14.4 14.6134
14.3 10.7385
11.4 11.4866
7.2 7.6301
5.4 7.2976
11.2 9.2529
9.5 9.5242
5.7 7.2628
6.3 4.9052
6.2 6.7116
9.2 10.5959
13.1 9.2106
11.6 8.6415
7.6 5.944
9.5 3.6768
4.8 4.46
11.7 10.3606
10.2 7.735
7.1 7.9539
11.7 8.6369
7.3 7.9322
11 9.4223
9.3 10.3389
2.3 2.0221
9.1 3.4512
12.4 12.3039
12.1 11.8824
8.6 11.0056
8.6 9.5313
6.3 8.2463
3.6 2.0028
6.2 4.0691
9.5 5.1456
11.3 9.7605
7.9 10.8011
5.1 10.8976
7.5 9.7234
11.5 8.6389
13.4 11.4076
11.2 10.7992
7.2 7.6481
4.5 3.5504
4.4 2.5443
6.3 3.8599
6 3.2983
11.3 11.8551
9.6 14.0072
8.4 8.27
4.4 2.8895
5.4 7.1234
8.5 8.9184
14.2 16.264
10.9 12.0633
6.2 5.788
4 4.3166
4.2 2.7804
3.4 2.9146
3.9 1.5551
6 1.7517
3.7 3.2896
3.7 4.3693
6 2.3986
6.4 4.4554
5.8 5.5905
7.9 5.9094
11.2 9.5121
11 7.0001
8.2 4.9785
5.9 5.4113
11.6 10.9583
9.7 9.7098
12.9 9.0426
12.4 9.9818
12.6 11.5328
9.9 10.0108
8.2 7.3055
9.8 9.3518
9.5 11.1599
12.1 17.4672
10 10.4014
8.6 9.1797
14.8 14.7734
10.3 16.2112
8 6.6311
5.2 3.0074
5.8 5.7684
8.8 10.2071
12.1 7.762
11.1 12.6468
15.7 13.8303
14.5 15.5884
14.2 9.9237
12.3 14.5345
8.8 9.7645
6.4 8.8964
8.2 6.7409
5.9 6.5825
5.6 5.6287
9.5 5.9171
15.3 10.5567
11.6 6.0531
9.7 7.4824
3.9 6.203
1.9 0.5411
4.8 2.0999
9.5 9.7131
7.9 8.7842
6.4 7.0573
8.9 8.4033
8 7.6008
8.7 7.2817
13.4 14.6304
16 15.8871
16.3 14.4395
21.4 18.5025
17.7 21.2215
13.1 10.9579
11.1 10.0234
8.7 5.6299
